U+6300	挀	1	0	0	ハク ヒャク		9	63	扌 (てへん)	扌𠂢 扌𠂆𠂆乀丿										ハク ヒャク			bāi	baak3								
U+6301	持	1	1	3	ジ	も-つ	9	63	扌 (てへん)	扌寺	寺恃待								sustain, support; hold, grasp	ジ チ もつ もち	JI CHI	MOTSU MOCHI	chí	ci4		直之	지:0E	CI	trì	気持ち 持つ 持ち 金持ち 所持 持ち主 持ち帰り 気持 手持ち 持てる 持たせ 持ち出し 持ち物 長持ち 持ち合わせ 持たせる 持ち運び 持ち味 持分 子持ち 持病 面持ち 持ち前 持ち手 持ち直し 日持ち 心持ち 力持ち 心持 持ち家 持ち歩き 金持 受け持ち 持ち回り 持ち場 持ち上がり 家持 持ち合い 持ちきり 持ち玉 住持 持ち歌 持主 持家 子持 受持 持ちネタ 持ち分 手持 長持 鼻持ち 持たす 石持 物持ち 持物 持出 持ち点 持ち金 花持ち 身持ち 持する 持ちあわせ 聞持 持ち切り 持ち高 持ち球 火持ち 行持 取り持ち 持ち馬 持合 持合い 持ち重り 持ちもの 受持ち 横持ち 持前 力持 かけ持ち 太刀持ち ケツ持ち 物持 水持ち 持点 球持ち かばん持ち 持運び 持味 カバン持ち 面持 持ち合せ 持ち役 持高 回り持ち 男持ち カネ持ち 国持 家持ち 女持ち 持場 持ちまわり 部屋持ち 持ち山 持回り 持す 持ち船 主持 持てなし 国持ち 持薬 刀持ち 持手 太刀持 身持 持ち心地 雪持ち 女持	所持 気持 持分 持病 心持 所持金 所持者 金持 所持品 家持 住持 持主 持家 子持 受持 手持 長持 石持 持物 持出 聞持 行持 持合 持前 力持 物持 持点 持味 面持 持高 国持 持場 主持 持薬 持手 太刀持 身持 女持	気持ち 持つ 持ち 金持ち 持ち帰り 気持 手持ち 持てる 持たせ 持ち出し 長持ち 持ち合わせ 持たせる 持分 子持ち 持ち前 持ち手 持ち直し 日持ち 心持ち 力持ち 心持 持ち家 持ち歩き 金持 持ち回り 持ち場 持ち上がり 家持 持ち合い 持ちきり 持ち玉 持ち歌 持家 子持 持ちネタ 持ち分 手持 長持 持たす 石持 持出 持ち点 持ち金 花持ち 持する 持ちあわせ 聞持 持ち切り 持ち高 火持ち 行持 持ち馬 持合 持合い 持ちもの 持前 力持 かけ持ち 太刀持ち ケツ持ち 水持ち 持点 かばん持ち カバン持ち 持ち合せ 持高 回り持ち 男持ち カネ持ち 国持 家持ち 女持ち 持場 持ちまわり 持ち山 持回り 持す 持ち船 持てなし 国持ち 刀持ち 持手 太刀持 持ち心地 雪持ち 女持
U+6302	挂	1	2	12	カイ ケ ケイ カ	かける	9	63	扌 (てへん)	扌圭	掛罣卦	掛				掛			hang, suspend; suspense	カイ ケ ケイ カ かける	KEI KAI KE	KAKERU	guà	gwaa3		古賣	괘:1N	KWAY	quẩy	挂甲	挂甲	挂甲
U+6303	挃	1	4	0	チツ チチ テツ デチ		9	63	扌 (てへん)	扌至	𢰗𢯶秷𥡫𢲼								(Cant.) to beat	チツ チチ テツ デチ	CHITSU JICHI TETSU DECHI	SASU	zhì	zat6		陟栗			chọi			
U+6304	挄	1	0	0	カク コウ		9	63	扌 (てへん)	扌光	擴拡櫎									カク コウ	KOU KAKU	HIROGERU	kuò	kwok3					quăng			
U+6305	挅	1	0	0	タ		9	63	扌 (てへん)	扌朶	朵挆揣									タ			duǒ	do2		都唾			xoá			
U+6306	挆	1	0	0	タ		9	63	扌 (てへん)	扌朵	挅拸									タ			duǒ	do2		丁果						
U+6307	指	1	1	3	シ	ゆび さ-す	9	63	扌 (てへん)	扌旨	旨稽視𢫾脂								finger, toe; point, indicate	シ ゆび さす ゆびさす	SHI	YUBI SASU	zhǐ	zi2		職雉	지:0E	CI	chỉ	指定 目指し 目指す 指名 指し 指数 指す 指先 親指 指向 指南 小指 中指 指さし 薬指 手指 名指し 指図 指せる 目指せる 足指 食指 指さす 運指 指しゃぶり 指板 母指 指使い 指笛 後ろ指 指し手 水指 指物 五指 指切り つき指 一指 指月 早指し 指ぬき 指頭 神指 おや指 ばね指 指間 左指 多指 バネ指 指事 名指す 指命 右指 指毛 くすり指 後指 指遊び 指あそび 物指し 両指 指さばき 大指 横指 指さき 指づかい 指出し 指かけ	指定 指名 指数 指先 親指 指向 指南 小指 中指 薬指 手指 指図 指定日 指定校 足指 食指 指南書 指南役 運指 指板 母指 指人形 指笛 指定医 水指 指物 五指 一指 指月 指文字 指定市 指頭 神指 指間 左指 多指 指事 指命 指定者 右指 指南車 指毛 後指 指番号 指南番 両指 大指 指定月 横指	目指し 目指す 指名 指し 指数 指す 指先 親指 指南 小指 中指 指さし 手指 名指し 指図 指せる 目指せる 足指 食指 指さす 指しゃぶり 母指 後ろ指 指し手 水指 五指 指切り つき指 一指 指月 早指し 指ぬき 指頭 おや指 ばね指 指間 左指 多指 バネ指 名指す 右指 指毛 くすり指 後指 指あそび 指さばき 大指 指さき 指づかい 指出し 指かけ 指南書 指人形 指文字 指南車 指南番
U+6308	挈	1	2	12	ケツ ケイ カツ ケチ セイ	ひっさげる たずさえる	10	63	手 (て)	㓞手 丰刀手	契𢭋絜觢								assist, help, lead by hand	ケツ ケイ カツ ケチ セイ ひっさげる たずさえる	KETSU KEI	HITSUSAGERU	qiè	kit3		苦結		SEL KYEY				
U+6309	按	1	1	11	アン アツ アチ	おさえる しらべる	9	63	扌 (てへん)	扌安	案			搵					put hand on, press down with hand	アン アツ アチ おさえる しらべる	AN	OSAERU SHIRABERU	àn	on3		烏旰	안:0N	AN AL	án	按摩 按分 按配 按司 按ずる 按察 按手 按察使 按排 按じる 按腹	按摩 按分 按配 按司 按察 按手 按察使 按排 按腹	按摩 按分 按配 按司 按ずる 按察 按手 按察使 按排 按じる 按腹
